"id","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","y","Land","log_y","log_x1","log_x2","log_x5","log_x11","log_x17","log_x18"
58,413287.5,55751,39.2,60.8,13.4879174,5618.75,162481.25,134643.75,100,1981.25,99687.5,0,8775,0,0,238.822579,58272,46788,79,"FINLAND",1137.195,"FINLAND",7.0363199830032,12.9318987556679,10.9286506263812,2.60179427727871,11.5098056032589,10.9728941432807,10.7534034115438
59,139781.3,12519,0,100,8.95650067,4925,43468.75,62250,100,0,21362.5,0,7675,0,0,262.724735,12487,10026,79,"FINLAND",170.825,"FINLAND",5.14063964066684,11.847834337317,9.43500276925966,2.19237960047902,9.96943913732883,9.43252346219527,9.21303673352392
60,1783431.3,662039,48.46,51.54,37.1210518,48106.25,138518.75,178043.75,141418.75,2706.25,1248312.5,0,9800,0,16525,152.00792,277776,254322,61.2281365,"LATVIA",9794.7675,"LATVIA",9.18960359349662,14.3940497632747,13.4030797455706,3.61418424264588,14.0373039982887,12.5345739124983,12.4463603916774
61,1304243.8,26531,48.64,51.36,2.03431714,1337.5,863275,268487.5,32750,26400,30943.75,3050,75537.5,0,2462.5,313.373094,18149,14339,91.6000032,"SWEDEN",336.88,"SWEDEN",5.81972678385367,14.0811339671835,10.186069139599,0.710160204842905,10.3399586352913,9.806425839693,9.57080811415361
62,68987.5,34034,81.88,18.12,49.3675834,468.75,44887.5,13968.75,56.25,12.5,8068.75,0,100,0,1425,200.681823,4732,3739,91.6000032,"SWEDEN",122.945,"SWEDEN",4.8117371008975,11.1416806077478,10.4351153039314,3.89929400231844,8.99587778184981,8.46231452990625,8.22684089040858
63,1975100,60495,63.52,36.48,3.06285992,4650,1295481.25,415493.75,46931.25,84518.75,48575,175,73431.25,0,5843.75,345.926726,28489,22510,91.6009192,"SWEDEN",636.7975,"SWEDEN",6.45645170864307,14.4961295879469,11.0103159959756,1.11934909386329,10.7908848607553,10.257308427492,10.0217593576142
64,177756.3,2621,0,100,1.4750618,0,138031.25,32831.25,0,1631.25,2031.25,0,3231.25,0,0,316.764034,1191,941,91.6000032,"SWEDEN",35.77,"SWEDEN",3.57710955327093,12.0881687900754,7.87131120332341,0.388699887219158,7.61689883262668,7.0833878476253,6.84800527457636
65,2493300,28910,20.98,79.02,1.15945606,93556.25,874862.5,226118.75,362118.75,363593.75,23512.5,332112.5,185237.5,30287.5,1900,663.258194,13790,10896,91.6256467,"SWEDEN",647.37,"SWEDEN",6.47291800121548,14.7291176922092,10.2719428350104,0.147950981350717,10.0653300032737,9.53177148447434,9.29624280097689
66,83025,18191,36.25,63.75,21.9149415,187.5,71037.5,6112.5,50,0,3137.5,0,1250,0,1250,255.218535,1840,1454,91.6000032,"SWEDEN",65.2075,"SWEDEN",4.17757449299193,11.3268970462449,9.80868224526222,3.08716866446269,8.05150025775759,7.51806418123308,7.28276117960559
67,26525,2117,67.87,32.13,7.9771204,0,6875,14781.25,0,43.75,4243.75,0,581.25,0,0,907.176068,2481,1992,79,"FINLAND",526.1175,"FINLAND",6.26552457182163,10.1858429634822,7.65775527113487,2.07657749420859,8.35343820419612,7.81681996576455,7.59739632021279
68,110500,4666,1,99,4.22096698,62.5,95706.25,6437.5,0,100,1337.5,0,6856.25,0,0,451.723074,782,628,79,"FINLAND",179.66,"FINLAND",5.19106617580106,11.6127707999399,8.44805745258138,1.44006424397896,7.19930486296041,6.6631326959908,6.44413125670044
69,336781.3,101636,59.31,40.69,30.1842805,7625,226806.25,38543.75,50,393.75,19831.25,0,40137.5,0,3393.75,259.326555,11631,9190,91.6000032,"SWEDEN",196.6425,"SWEDEN",5.28138735932519,12.7271890372436,11.5291530820749,3.40732127562175,9.89506467952504,9.3615151997733,9.12598002335811
70,1554406.3,525749,73.59,26.41,33.8234625,26025,610387.5,289318.75,318.75,3156.25,315850,0,289231.25,0,20118.75,208.917776,185246,146366,91.6000032,"SWEDEN",1407.0825,"SWEDEN",7.24927369078986,14.256604230048,13.1725791915184,3.52115471847831,12.6630258623817,12.1294453486952,11.8938724452647
71,81437.5,25733,83.41,16.59,31.608742,50,19793.75,43712.5,0,50,16381.25,0,1006.25,0,443.75,749.959875,9576,7689,79,"FINLAND",316.4975,"FINLAND",5.75731534265888,11.3075911338672,10.155529493893,3.45343372790316,9.70395371061104,9.16711966952162,8.94767606249969
72,97025,8138,0,100,8.39186699,812.5,62212.5,14900,0,243.75,18187.5,0,668.75,0,0,304.537739,10631,8536,79,"FINLAND",448.4025,"FINLAND",6.10569126656159,11.4827239562371,9.00429972856164,2.12726302134971,9.80854480522022,9.27162360039308,9.05216493701031
73,5666625,961645,59.9,40.1,16.9705704,291512.5,861375,880706.25,204506.25,21712.5,2936531.25,0,447500,0,22781.25,231.563945,249232,304776,31.8633997,"ESTONIA",5150.745,"ESTONIA",8.54689664338968,15.5501042603842,13.7764006386731,2.83148069093818,14.8927399363465,12.4261434808842,12.6273356406298
